"filename", "language", "Markdown", "XML", "JavaScript", "TypeScript", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "comment", "blank", "total"
"d:\Bits\SEM\Project\community-cart\src\app\order\view-orders-details\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 128, 0, 0, 0, 2, 20, 150
"d:\Bits\SEM\Project\community-cart\src\app\order\view-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 9, 72
"d:\Bits\SEM\Project\community-cart\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 5, 13, 115
"d:\Bits\SEM\Project\community-cart\src\app\payment\failed\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\Bits\SEM\Project\community-cart\src\app\payment\success\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"d:\Bits\SEM\Project\community-cart\src\app\product\add-product\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 182, 0, 0, 0, 18, 33, 233
"d:\Bits\SEM\Project\community-cart\src\app\product\product-detail\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 1, 16, 139
"d:\Bits\SEM\Project\community-cart\src\app\product\update-product\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 238, 0, 0, 0, 0, 43, 281
"d:\Bits\SEM\Project\community-cart\src\app\seller\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 11, 137
"d:\Bits\SEM\Project\community-cart\src\app\seller\seller-category\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 76
"d:\Bits\SEM\Project\community-cart\src\app\tilesDatas\Tiles.tsx", "TypeScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 10, 45
"d:\Bits\SEM\Project\community-cart\src\components\AdminNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 5, 60
"d:\Bits\SEM\Project\community-cart\src\components\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"d:\Bits\SEM\Project\community-cart\src\components\CartCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 113, 0, 0, 0, 0, 15, 128
"d:\Bits\SEM\Project\community-cart\src\components\CategoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\Bits\SEM\Project\community-cart\src\components\CategoryDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 28, 138
"d:\Bits\SEM\Project\community-cart\src\components\CompletedOrderDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 88, 0, 0, 0, 0, 19, 107
"d:\Bits\SEM\Project\community-cart\src\components\FavouriteProductDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 22, 133
"d:\Bits\SEM\Project\community-cart\src\components\FeaturedProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\Bits\SEM\Project\community-cart\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\Bits\SEM\Project\community-cart\src\components\GetData.tsx", "TypeScript JSX", 0, 0, 0, 0, 93, 0, 0, 0, 5, 16, 114
"d:\Bits\SEM\Project\community-cart\src\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"d:\Bits\SEM\Project\community-cart\src\components\IconPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\Bits\SEM\Project\community-cart\src\components\MapMarker.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 1, 2, 13
"d:\Bits\SEM\Project\community-cart\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 14, 117
"d:\Bits\SEM\Project\community-cart\src\components\OrdersDetailsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 28, 107
